user_id,username,fullname,followers,following,is_verified,is_private,media_count,igtv_count,bio,website,is_business,business_category_name
7610562928,opensea,OpenSea,1125424,1559,TRUE,FALSE,683,11,"🛥The largest marketplace for NFTs
🛍 Create, buy, sell, and discover unique digital goods
👋 Reach us at support@opensea.io",https://linkin.bio/opensea,TRUE,Business & Utility Services
49158102167,metav3rse,Metaverse | Web3 | NFTs,1324437,469,FALSE,FALSE,595,61,"The authority for Web3/NFT news, analysis & culture. In 4.25 years you’ll be wishing you paid more attention to this page.
🛸 @mv3hq 🛸",http://mv3hq.com/,FALSE,
7420225899,superrare.co,SuperRare 💎,397243,1812,TRUE,FALSE,1830,158,"The future of the CryptoArt market—a network governed by artists, collectors and curators 💎",https://linktr.ee/superrare,TRUE,General Interest
448068733,nft.pad,NFT PAD  | Metaverse | Crypto,749453,21,FALSE,FALSE,308,0,"🚀 #1 Platform for NFT & Metaverse Education 
💎 FOLLOW US for FREE NFT Giveaways!
💸 Exclusive Whitelist + MINT Announcements",,TRUE,Publishers
1697296,garyvee,Gary Vay-Ner-Chuk,10057834,6389,TRUE,FALSE,7721,1432,"✈️ CEO/Chairman @vaynermedia @vaynersports 
🐈‍⬛ Creator @veefriends
🔮 Early Investor FB,Venmo,Twitter ect
⬇️ very emotional moment here, hope it helps",https://garyvee.com/KeepGoing,FALSE,
9155859822,rarible,Rarible,289366,2265,TRUE,FALSE,274,19,"Multichain community-centric NFT marketplace. Create, sell and collect NFTs.",https://rarible.com/TimeRaiders/items,TRUE,Personal Goods & General Merchandise Stores
37469197684,nft.magazine,NFT Magazine,273947,365,FALSE,FALSE,500,66,"@cryptoartfair 
We are the definitive resource for cryptoart.",http://twitter.com/magazinenft/,TRUE,General Interest
46646012239,nft.money,NFT MONEY | CRYPTO,1492660,13,FALSE,FALSE,1812,12,"🚀 #1 Platform for NFT & Crypto Education
🗞 FOLLOW US for FREE Tips!
🔥 Learn how to INVEST into NFTs",,TRUE,Professional Services
7034236326,nft_wealth,NFT | Crypto | Metaverse,851977,4,FALSE,FALSE,549,27,"#1 Resource For NFT, Crypto, & Metaverse Information! 👾
Contact us on @social_gains_crypto for NFT/Crypto marketing.
👇More free education👇",https://linktr.ee/online_boss_,TRUE,Non-Profits & Religious Organizations
52201448549,nft_insiders,NFT | Metaverse | Crypto,9144,8,FALSE,FALSE,21,0,"🚀 #1 Platform for NFT Education
🗞 FOLLOW US for FREE NFT Tips!
Stay Connected + Inquries dm 📥 ⤵️",,TRUE,Business & Utility Services
